date,host,sessions,peak_concurrent,active_buckets,parallel_buckets,session_buckets,attended_buckets
2026-07-26,mac-2,14,8,29,26,108,19
2026-07-27,mac-2,38,10,54,43,213,24
2026-07-28,mac-2,35,9,67,52,238,35
2026-07-29,mac-2,19,8,57,40,142,27
2026-07-30,mac-2,11,8,23,8,46,9
2026-07-31,mac-2,40,10,114,68,311,41
2026-08-01,mac-2,46,10,83,68,273,53
2026-08-02,mac-2,48,11,71,51,194,36
2026-08-03,mac-2,34,14,85,61,226,57
2026-08-04,mac-2,54,12,71,60,316,33
2026-08-05,mac-2,16,8,54,24,133,11
2026-08-06,mac-2,21,8,87,60,227,48
2026-08-07,mac-2,4,3,17,4,23,10
2026-08-08,mac-2,17,12,64,36,239,27
2026-08-09,mac-2,16,5,65,49,158,39
2026-08-10,mac-2,8,4,41,23,73,22
2026-08-11,mac-2,10,7,60,26,129,6
2026-08-12,mac-2,38,16,82,62,433,25
2026-08-13,mac-2,11,6,36,29,96,17
2026-08-14,mac-2,23,10,84,40,214,28
2026-08-15,mac-2,14,6,72,54,171,53
2026-08-16,mac-2,11,4,52,30,102,32
2026-08-17,mac-2,4,2,59,17,76,27
2026-08-18,mac-2,39,14,63,32,277,22
2026-08-19,mac-2,18,6,55,36,121,19
2026-08-20,mac-2,3,2,10,4,14,2
2026-08-21,mac-2,10,7,44,16,103,9
2026-08-24,mac-2,1,1,7,0,7,1
2026-08-25,mac-2,58,20,64,50,519,25
2026-08-26,mac-2,7,3,37,11,52,13
2026-08-27,mac-2,2,2,3,2,5,0
